Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price,upload_date,auction
7,9-0621,70975,2013,Ford,Taurus,Limited,RED,1,Yes,,2026-04-29,9,600.0,2026-04-29 11:41:52,UAX Memphis
10,10-0009,71557,2024,Ford,Transit-350 Cargo Van,"T-350 148"" Low Rf 9950 GVWR",WHITE,1690,Yes,5.0,2026-04-29,10,31000.0,2026-04-29 11:41:52,UAX Memphis
14,10-0010,71568,2023,GMC,Acadia,SLT,RED,82410,Yes,4.4,2026-04-29,10,18800.0,2026-04-29 11:41:52,UAX Memphis
38,9-0558,70055,2020,GMC,Acadia,SLE,GRAY,143168,Yes,1.4,2026-04-29,9,5000.0,2026-04-29 11:41:52,UAX Memphis
35,4-0070,69963,2019,GMC,Acadia,SLT,WHITE,141801,Yes,3.3,2026-04-29,4,5000.0,2026-04-29 11:41:52,UAX Memphis
6,2-0011,71336,2016,GMC,Acadia,Denali,BLACK,127548,Yes,4.7,2026-04-29,2,9200.0,2026-04-29 11:41:52,UAX Memphis
47,9-0623,70354,2016,GMC,Acadia,SLE,GRAY,172569,Yes,1.2,2026-04-29,9,450.0,2026-04-29 11:41:52,UAX Memphis
29,4-0093,70932,2013,GMC,Acadia,SLT,SILVER,195699,Yes,2.9,2026-04-29,4,1000.0,2026-04-29 11:41:52,UAX Memphis
34,9-0527,68715,2012,GMC,Acadia,Denali,BLACK,207024,Yes,0.0,2026-04-29,9,1500.0,2026-04-29 11:41:52,UAX Memphis
33,10-0016,71564,2017,GMC,Sierra 1500,Denali,BLACK,120121,Yes,3.5,2026-04-29,10,22000.0,2026-04-29 11:41:52,UAX Memphis
40,1-0033,71500,2017,GMC,Sierra 1500,SLE,BROWN,168108,Yes,2.7,2026-04-29,1,9000.0,2026-04-29 11:41:52,UAX Memphis
11,2-0050,71689,2016,GMC,Sierra 1500,Denali,BLACK,135449,Yes,,2026-04-29,2,18200.0,2026-04-29 11:41:52,UAX Memphis
31,2-0056,71152,2016,GMC,Sierra 1500,SLE,BLACK,165765,Yes,3.5,2026-04-29,2,13200.0,2026-04-29 11:41:52,UAX Memphis
34,10-0019,70607,2012,GMC,Sierra 1500,SLE,SILVER,151948,Yes,3.5,2026-04-29,10,9000.0,2026-04-29 11:41:52,UAX Memphis
35,3-0084,68677,2021,GMC,Terrain,SLE,WHITE,128714,Yes,1.3,2026-04-29,3,5500.0,2026-04-29 11:41:52,UAX Memphis
23,4-0021,71594,2019,GMC,Terrain,SLT,BLACK,135528,Yes,4.1,2026-04-29,4,9200.0,2026-04-29 11:41:52,UAX Memphis
0,6-0011,71658,2017,GMC,Terrain,SLE,RED,99089,Yes,,2026-04-29,6,7900.0,2026-04-29 11:41:52,UAX Memphis
37,9-0519,69557,2013,GMC,Terrain,SLE,BLACK,178284,Yes,0.0,2026-04-29,9,1000.0,2026-04-29 11:41:52,UAX Memphis
40,9-0539,69276,2013,GMC,Terrain,SLE,BLACK,120917,Yes,1.0,2026-04-29,9,1200.0,2026-04-29 11:41:52,UAX Memphis
23,10-0018,70606,2022,Honda,Accord,Hybrid Touring,WHITE,55479,Yes,4.0,2026-04-29,10,23200.0,2026-04-29 11:41:52,UAX Memphis
0,6-0005,71477,2021,Honda,Accord,Sedan Sport,NO COLOR,61762,Yes,,2026-04-29,6,19000.0,2026-04-29 11:41:52,UAX Memphis
17,1-0025,71098,2013,Honda,Accord,Sdn Sport,GRAY,214563,Yes,,2026-04-29,1,3100.0,2026-04-29 11:41:52,UAX Memphis
30,3-0004,69562,2011,Honda,Accord,Cpe LX-S,GRAY,179614,Yes,4.1,2026-04-29,3,3200.0,2026-04-29 11:41:52,UAX Memphis
6,9-0562,71634,2009,Honda,Accord,Sdn EX-L,SILVER,170940,Yes,,2026-04-29,9,1150.0,2026-04-29 11:41:52,UAX Memphis
27,10-0022,71587,2018,Honda,Civic,Hatchback EX,RED,119527,Yes,3.6,2026-04-29,10,11000.0,2026-04-29 11:41:52,UAX Memphis
33,9-0543,67173,2013,Honda,Civic,Sdn LX,BLUE,146058,Yes,1.1,2026-04-29,9,1100.0,2026-04-29 11:41:52,UAX Memphis
36,4-0079,69318,2016,Honda,CR-V,SE,WHITE,196542,Yes,2.8,2026-04-29,4,4400.0,2026-04-29 11:41:52,UAX Memphis
28,3-0003,69270,2016,Honda,Pilot,EX-L,WHITE,151565,Yes,4.5,2026-04-29,3,7900.0,2026-04-29 11:41:52,UAX Memphis
5,9-0630,71095,2013,Honda,Pilot,EX-L,BURGUNDY,1,Yes,,2026-04-29,9,700.0,2026-04-29 11:41:52,UAX Memphis
27,4-0066,69579,2025,Hyundai,Elantra,SEL Sport,BLUE,16607,Yes,4.0,2026-04-29,4,17800.0,2026-04-29 11:41:52,UAX Memphis
32,9-0560,68886,2020,Hyundai,Elantra,SE,RED,155787,Yes,0.0,2026-04-29,9,2700.0,2026-04-29 11:41:52,UAX Memphis
24,9-0534,68277,2020,Hyundai,Elantra,SEL,SILVER,96571,Yes,1.0,2026-04-29,9,3400.0,2026-04-29 11:41:52,UAX Memphis
35,9-0547,69294,2019,Hyundai,Elantra,SE,RED,223853,Yes,1.0,2026-04-29,9,800.0,2026-04-29 11:41:52,UAX Memphis
24,4-0091,71014,2014,Hyundai,Elantra,Sport,SILVER,155101,Yes,3.7,2026-04-29,4,2400.0,2026-04-29 11:41:52,UAX Memphis
33,3-0072,69486,2021,Hyundai,Palisade,Limited,BLACK,110989,Yes,3.7,2026-04-29,3,15500.0,2026-04-29 11:41:52,UAX Memphis
40,2-0016,71333,2012,Hyundai,Santa Fe,GLS,RED,217609,Yes,2.0,2026-04-29,2,550.0,2026-04-29 11:41:52,UAX Memphis
29,5-0040,71485,2019,Hyundai,Santa Fe XL,SE,WHITE,98051,Yes,2.9,2026-04-29,5,4400.0,2026-04-29 11:41:52,UAX Memphis
27,9-0544,69298,2015,Hyundai,Sonata,2.4L Sport,SILVER,168259,Yes,1.0,2026-04-29,9,550.0,2026-04-29 11:41:52,UAX Memphis
30,5-0028,71410,2006,Hyundai,Sonata,GLS,BLACK,192084,Yes,1.8,2026-04-29,5,900.0,2026-04-29 11:41:52,UAX Memphis
27,2-0020,71327,2011,Hyundai,Tucson,GLS,RED,182828,Yes,2.8,2026-04-29,2,3150.0,2026-04-29 11:41:52,UAX Memphis
1,5-0201,70878,2006,INFINITI,FX35,4dr,BLACK,195706,Yes,,2026-04-29,5,1225.0,2026-04-29 11:41:52,UAX Memphis
3,1-0037,71694,2015,INFINITI,QX60,4dr,GRAY,186344,Yes,,2026-04-29,1,1900.0,2026-04-29 11:41:52,UAX Memphis
4,5-0200,70655,2002,Isuzu,Trooper,S,WHITE,157433,Yes,,2026-04-29,5,600.0,2026-04-29 11:41:52,UAX Memphis
31,4-0020,71596,2019,Jeep,Cherokee,Altitude,GRAY,109850,Yes,3.6,2026-04-29,4,8500.0,2026-04-29 11:41:52,UAX Memphis
